poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner,score_revues_volume,poetry_magazine_nb_pub,american_poetry_review_nb_pub,kenyon_review_nb_pub,prairie_schooner_nb_pub
1,Steve Abee,[],[],[],[],0,0,0,0,0
2,Harold Abramowitz,[],[],[],[],0,0,0,0,0
3,Ricardo Lira Acuna,[],[],[],[],0,0,0,0,0
4,Thomas Adams,[],[],[],[],0,0,0,0,0
5,Mikael Ahadou,[],[],[],[],0,0,0,0,0
6,Christine Choi Ahmed,[],[],[],[],0,0,0,0,0
7,Tanzila Ahmed,[],[],[],[],0,0,0,0,0
8,Josephine Ain,[],[],[],[],0,0,0,0,0
9,Riua Akinshegun,[],[],[],[],0,0,0,0,0
10,Linda Albertano,[],[],[],[],0,0,0,0,0
11,Nelson Alburquenque,[],[],[],[],0,0,0,0,0
12,Robert Alexander,[],[],[],[],0,0,0,0,0
13,Will Alexander,[2022],[],[],[],1,1,0,0,0
14,Luis Alfaro,[],[],[],[],0,0,0,0,0
15,Paula Gunn Allen,[],[1975],[],[],1,0,1,0,0
16,Blair H. Allen,[],[],[],[],0,0,0,0,0
17,Rosie Angelica Alonso,[],[],[],[],0,0,0,0,0
18,Rafael F J Alvarado,[],[],[],[],0,0,0,0,0
19,Li Yun Alvarado,[],[],[],[],0,0,0,0,0
20,Karina Oliva Alvarado,[],[],[],[],0,0,0,0,0
21,Melissa F. Alvarado,[],[],[],[],0,0,0,0,0
22,Gloria Alvarez,[],[],[],[],0,0,0,0,0
23,Dave Alvin,[],[],[],[],0,0,0,0,0
24,Ameen Alwan,[],[1978],"[1960, 1968]",[],3,0,1,2,0
25,E. Amato,[],[],[],[],0,0,0,0,0
26,Iris De Anda,[],[],[],[],0,0,0,0,0
27,Michael Andrews,[],[],[],[],0,0,0,0,0
28,Ralph Angel,"[1987, 1991, 2001, 2003]","[1981, 1984, 1986, 1987, 1992, 1995, 2020]",[],[],11,4,7,0,0
29,William Archila,[2019],[2014],[],[2017],3,1,1,0,1
30,RD Armstrong,[],[],[],[],0,0,0,0,0
31,Mary Armstrong,[],[],[],[],0,0,0,0,0
32,Diana Arterian,[],[],[],[],0,0,0,0,0
33,Kenneth Atchity,[],[],[],[],0,0,0,0,0
34,Erika Ayon,[],[],[],[],0,0,0,0,0
35,Danny Baker,[],[],[],[],0,0,0,0,0
36,Dorothy Barnes,[],[],[],[],0,0,0,0,0
37,Dick Barnes,"[1995, 2006]",[],[],[],2,2,0,0,0
38,Tony Barnstone,[2012],"[1987, 1995]",[],[2005],4,1,2,0,1
39,Todd Baron,[],[],[],[],0,0,0,0,0
40,Dorothy Barresi,"[1987, 1988, 1989]",[],[2001],"[1999, 2009]",6,3,0,1,2
41,Richard Beban,[],[],[],[],0,0,0,0,0
42,Marjorie Becker,[],[],[],[],0,0,0,0,0
43,Cal Bedient,[],[],[],[],0,0,0,0,0
44,Lory Bedikian,[],[],[],[],0,0,0,0,0
45,John Beecher,[],[1976],[],[],1,0,1,0,0
46,Max Benavidez,[],[],[],[],0,0,0,0,0
47,Molly Bendall,"[1993, 1994]","[1992, 1994, 2000]",[],[2003],6,2,3,0,1
48,Lin Benedek,[],[],[],[],0,0,0,0,0
49,Kim Benjamin,[],[],[],[],0,0,0,0,0
50,Dinah Berland,[],[],[],[],0,0,0,0,0
51,Wallace Berman,[],[],[],[],0,0,0,0,0
52,Xochitl-Julisa Bermejo,[],[2015],[],[],1,0,1,0,0
53,Andres Bermejo,[],[],[],[],0,0,0,0,0
55,Bridgette Bianca,[],[],[],[],0,0,0,0,0
56,Niki Billingslea,[],[],[],[],0,0,0,0,0
57,Billy Al Bingston,[],[],[],[],0,0,0,0,0
58,Michelle Bitting,[],"[2012, 2015]",[],"[2004, 2009]",4,0,2,0,2
59,Charles Bivins,[],[],[],[],0,0,0,0,0
60,Laurel Ann Bogen,[],[],[],[],0,0,0,0,0
61,Joan La Bombard,[1958],[],[],[1965],2,1,0,0,1
62,Jennifer Bowen,[],[],[],[],0,0,0,0,0
63,Sue Abbott Boyd,[],[],[],[1956],1,0,0,0,1
64,Bruce Boyd,[],[],[],[],0,0,0,0,0
65,John Brander,[],[],[],[],0,0,0,0,0
66,John Brantingham,[],[],[],[],0,0,0,0,0
67,Kate Braverman,[],[],"[1994, 1995]",[],2,0,0,2,0
68,Lynne Bronstein,[],[],[],[],0,0,0,0,0
69,F. Douglas Brown,[],[],[],[],0,0,0,0,0
70,Derek D. Brown,[],[],[],[],0,0,0,0,0
71,Stephanie Brown,[],"[1999, 2001, 2003, 2005, 2011]",[],[],5,0,5,0,0
72,Jeffrey Bryant,[],[],[],[],0,0,0,0,0
73,Shonda Buchanan,[],[],[],[],0,0,0,0,0
74,Christopher Buckley,"[1979, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1994]","[2000, 2001, 2006, 2009, 2010, 2011, 2013]","[1989, 1997, 2010]",[2007],20,9,7,3,1
75,Ruthie Buell,[],[],[],[],0,0,0,0,0
76,Charles Bukowski,"[1963, 1964, 1993, 1994, 2001, 2006]","[1975, 1993]",[],[1993],9,6,2,0,1
77,Billy Burgos,[],[],[],[],0,0,0,0,0
78,Ann Buxie,[],[],[],[],0,0,0,0,0
79,Elena Karina Byrne,"[2016, 2017, 2018]",[1994],[],[2002],5,3,1,0,1
80,Paul Calderon,[],[],[],[],0,0,0,0,0
81,Ben Caldwell,[],[],[],[],0,0,0,0,0
82,Don Kingfisher Campbell,[],[],[],[],0,0,0,0,0
83,Luis Campos,[],[],[],[],0,0,0,0,0
84,Jessica M. Wilson Cardenas,[],[],[],[],0,0,0,0,0
85,Helene Cardona,[],[],[],[],0,0,0,0,0
86,Alvaro Cardona-Hine,[1962],[],[],[1962],2,1,0,0,1
87,Anne Carmack,[],[],[],[],0,0,0,0,0
88,Anaid Carreno,[],[],[],[],0,0,0,0,0
89,Iliana Carter,[],[],[],[],0,0,0,0,0
90,Peter Cashorali,[],[],[],[],0,0,0,0,0
91,Fernando J. Castro,[],[],[],[],0,0,0,0,0
92,Sue Caylor,[],[],[],[],0,0,0,0,0
93,Jessica Ceballos,[],[],[],[],0,0,0,0,0
94,Adrian Ernesto Cepeda,[],[],[],[],0,0,0,0,0
95,Angel Cerritos,[],[],[],[],0,0,0,0,0
96,Alma Cervantes,[],[],[],[],0,0,0,0,0
97,Exene Cervenka,[],[],[],[],0,0,0,0,0
98,Robert Chambers,[],[],[],[],0,0,0,0,0
99,Cathy Linh Che,[2017],[],[],[],1,1,0,0,0
100,Lisa Cheby,[],[],[],[],0,0,0,0,0
101,Jen Cheng,[],[],[],[],0,0,0,0,0
102,Neeli Cherry,[],[],[],[],0,0,0,0,0
103,Judy Chicago,[],[],[],[],0,0,0,0,0
104,Aileen Cho,[],[],[],[],0,0,0,0,0
105,Gabreal Cho,[],[],[],[],0,0,0,0,0
106,Chiwan Choi,[],[],[],[],0,0,0,0,0
107,Marcus Clayton,[],[],[],[],0,0,0,0,0
108,Odessa Cleveland,[],[],[],[],0,0,0,0,0
109,Michelle T. Clinton,[],[],[1993],[],1,0,0,1,0
110,Jeanette Clough,[],[],[],[],0,0,0,0,0
111,Tricia Cochee,[],[],[],[],0,0,0,0,0
112,Nan Cohen,[],[],[],[],0,0,0,0,0
113,Lori Cohen,[],[],[],[],0,0,0,0,0
114,Mark Colasurdo,[],[],[],[],0,0,0,0,0
115,Wanda Coleman,[],"[1979, 1991]",[1992],[],3,0,2,1,0
116,Larry Colker,[],[],[],[],0,0,0,0,0
117,Buddy Collette,[],[],[],[],0,0,0,0,0
119,Cathy Colman,[],[],[],[2005],1,0,0,0,1
120,Brendan Constantine,[2020],[],[],"[2015, 2018]",3,1,0,0,2
121,Dennis Cooper,[],[],[],[],0,0,0,0,0
122,Henri Coulette,"[1966, 1971, 1973, 1990, 1991]",[],[1992],[],6,5,0,1,0
123,Robert Crosson,[],[],[],[],0,0,0,0,0
124,Rafa Cruz,[],[],[],[],0,0,0,0,0
125,Gil Cuadros,[],[],[],[],0,0,0,0,0
126,Iliana Cuellar,[],[],[],[],0,0,0,0,0
127,Yago S. Cura,[],[],[],[],0,0,0,0,0
128,Art Currim,[],[],[],[],0,0,0,0,0
129,James Cushing,[],[],[],[],0,0,0,0,0
130,Doren Damico,[],[],[],[],0,0,0,0,0
131,Mary-Alice Daniel,[],[2014],[],[2018],2,0,1,0,1
132,Michael Datcher,[],[],[],[],0,0,0,0,0
133,Carol V. Davis,[],[],[],"[2007, 2019]",2,0,0,0,2
134,Kamau Daáood,[],[],[],[],0,0,0,0,0
135,Jacqueline DeAngelis,[],[],[],[],0,0,0,0,0
136,Juan Delgado,[],[],[],[],0,0,0,0,0
137,Seven Dhar,[],[],[],[],0,0,0,0,0
138,David M. Diaz,[],[],[],[],0,0,0,0,0
139,Jose Hernandez Diaz,[2020],[2020],[],[],2,1,1,0,0
140,Nia Malika Dixon,[],[],[],[],0,0,0,0,0
141,Peggy Dobreer,[],[],[],[],0,0,0,0,0
142,John Doe,[],[],[],[],0,0,0,0,0
143,Dennis Dorney,[],[],[],[],0,0,0,0,0
144,Sharon Doubiago,[],[1983],[1993],[],2,0,1,1,0
145,Linda Dove,[2005],[],[],[],1,1,0,0,0
146,Kim Dower,[],[],[],[],0,0,0,0,0
147,Sharif Dumani,[],[],[],[],0,0,0,0,0
148,Jawanza Dumisani,[],[],[],[],0,0,0,0,0
149,Steve Effingham,[],[],[],[],0,0,0,0,0
150,Susan Efros,[],[],[],[],0,0,0,0,0
151,Christian Elder,[],[],[],[],0,0,0,0,0
152,Dennis Ellman,[],[],[],[],0,0,0,0,0
153,Seth Elpenor,[],[],[],[],0,0,0,0,0
154,Francisco Escamilla,[],[],[],[],0,0,0,0,0
156,Frances Salome Espana,[],[],[],[],0,0,0,0,0
157,Yvonne M. Estrada,[],[],[],[],0,0,0,0,0
158,Carrie Etter,[],[],[],[],0,0,0,0,0
159,Eric Eztli,[],[],[],[],0,0,0,0,0
160,Jenny Factor,[2003],[],[],"[2000, 2001, 2003, 2010]",5,1,0,0,4
161,B.H. Fairchild,[],[],[],[],0,0,0,0,0
162,Alexis Rhone Fancher,[],[],[],[],0,0,0,0,0
163,Maria Fattorini,[],[],[],[],0,0,0,0,0
164,Rich Ferguson,[],[],[],[],0,0,0,0,0
166,Jamie Asaye Fitzgerald,[],[2016],[],[],1,0,1,0,0
167,Mary Fitzpatrick,[],[],[],[],0,0,0,0,0
168,Bob Flanagan,[],[],[],[],0,0,0,0,0
169,Angela Rose Flores,[],[],[],[],0,0,0,0,0
170,Charles Flowers,[],[],[],[],0,0,0,0,0
171,Michael C. Ford,[],[],[],[],0,0,0,0,0
172,Ruth Forman,[],[],[1994],[],1,0,0,1,0
173,Simone Forti,[],[],[],[],0,0,0,0,0
174,Charles Foster,[],[],[],[],0,0,0,0,0
175,Sesshu Foster,[],[],[1995],[],1,0,0,1,0
176,Mariana Franco,[],[],[],[],0,0,0,0,0
177,Amelie Frank,[],[],[],[],0,0,0,0,0
178,Angela M. Franklin,[],[],[],[],0,0,0,0,0
179,Elliot Fried,[],[],[],[],0,0,0,0,0
180,Gene Frumkin,"[1959, 1960, 1962, 1964, 1968, 1971]",[],[],[1979],7,6,0,0,1
181,George Fuller,[],[],[],[],0,0,0,0,0
182,Sol Funerol,[],[],[],[],0,0,0,0,0
183,Kate Gale,[],[],[],[],0,0,0,0,0
184,Lucia Galloway,[],[],[],[],0,0,0,0,0
185,Manazar Gamboa,[],[],[],[],0,0,0,0,0
186,Ramon Garcia,[],[],[],[],0,0,0,0,0
187,Jerry Garcia,[],[],[],[],0,0,0,0,0
188,Richard Garcia,[2017],[],[1991],[1994],3,1,0,1,1
189,Nicolai Garcia,[],[],[],[],0,0,0,0,0
190,Margaret Elysia Garcia,[],[],[],[],0,0,0,0,0
191,Frank X. Gaspar,[],[2014],"[1990, 1999, 2001, 2011]","[1999, 2002, 2009, 2019]",9,0,1,4,4
192,Marisa Urrutia Gedney,[],[],[],[],0,0,0,0,0
193,Emma Gee,[],[],[],[],0,0,0,0,0
194,Amy Gerstler,[2013],"[1991, 1993, 1996, 1997]",[1998],[],6,1,4,1,0
195,Marsha Getzler,[],[],[],[],0,0,0,0,0
196,Dana Gioia,"[1982, 1983, 1985, 1986, 1987, 1989, 2002, 2004, 2005, 2006]","[1996, 2011]",[1983],"[1985, 1986, 1987]",16,10,2,1,3
197,Steve Goldman,[],[],[],[],0,0,0,0,0
198,Guillermo Gomez-Pena,[],[],[],[],0,0,0,0,0
199,Liz Gonzalez,[],[],[],[],0,0,0,0,0
200,William A. Gonzalez,[],[],[],[],0,0,0,0,0
201,Jessica Goodheart,[],[],[],[],0,0,0,0,0
202,Don Gordon,"[1953, 1954, 1955]",[],[],[],3,3,0,0,0
203,Amanda Gorman,[],[],[],[],0,0,0,0,0
204,Gerda Govine,[],[],[],[],0,0,0,0,0
205,Natalie J. Graham,[],[],[],[],0,0,0,0,0
206,Jack Grapes,[],[],[],[],0,0,0,0,0
207,Pamela Gray,[],[],[],[],0,0,0,0,0
208,Dorothy Randall Gray,[],[],[],[],0,0,0,0,0
209,Janet Gray,[],[],[],[],0,0,0,0,0
210,Timothy Green,[],[],[],[],0,0,0,0,0
211,Sonia Greenfield,[],[],[],[],0,0,0,0,0
212,Robert Greenfield,[],[],[],[],0,0,0,0,0
213,Ian Gregson,[],[],[],[],0,0,0,0,0
214,Robert Gribbin,[],[],[],[],0,0,0,0,0
215,S.A. Griffin,[],[],[],[],0,0,0,0,0
216,Gronk,[],[],[],[],0,0,0,0,0
217,Charles Gullans,"[1963, 1974, 1978]",[],[],[],3,3,0,0,0
218,Joseph Hansen,[],[],[],[],0,0,0,0,0
219,John Harris,[],[],[],[],0,0,0,0,0
220,Peter J. Harris,[],[],[],[],0,0,0,0,0
221,Hazel Clayton Harrison,[],[],[],[],0,0,0,0,0
222,Nathan Hassall,[],[],[],[],0,0,0,0,0
223,Levan Hawkins,[],[],[],[],0,0,0,0,0
224,Eloise Klein Healy,[],[],[],"[2002, 2007]",2,0,0,0,2
225,Kevin James Hearle,[],[],[],[],0,0,0,0,0
226,Leslie Woolf Hedley,[1962],[],[],[1962],2,1,0,0,1
227,George Herms,[],[],[],[],0,0,0,0,0
228,David Hernandez,[2016],[],[2008],"[2002, 2005, 2007]",5,1,0,1,3
229,Judith Hernandez,[],[],[],[],0,0,0,0,0
230,Gustavo Hernandez,[],[],[],[],0,0,0,0,0
231,Adolfo Y. Hernandez,[],[],[],[],0,0,0,0,0
232,Raul Herrera,[],[],[],[],0,0,0,0,0
233,Juan Felipe Herrera,[2016],"[1985, 1991, 1992, 1995]",[],[],5,1,4,0,0
234,Leland Hickman,[],[],[],[],0,0,0,0,0
235,Bill Hickok,[],[],[],[],0,0,0,0,0
236,Billy Higgins,[],[],[],[],0,0,0,0,0
237,Regina Higgins,[],[],[],[],0,0,0,0,0
238,William Ryan Hilary,[],[],[],[],0,0,0,0,0
239,Yuri Hinson,[],[],[],[],0,0,0,0,0
240,Jack Hirschman,"[1963, 1965, 1968]","[2003, 2005, 2008]",[],"[1957, 1963]",8,3,3,0,2
241,Marlene Hitt,[],[],[],[],0,0,0,0,0
242,Jen Hofer,[],[],[],[],0,0,0,0,0
243,Alexandra Hohmann,[],[],[],[],0,0,0,0,0
244,Karen Holden,[],[],[],[],0,0,0,0,0
245,Harmony Holiday,"[2019, 2020]",[],[],[],2,2,0,0,0
246,Jamal Holmes,[],[],[],[],0,0,0,0,0
247,Tanya Ko Hong,[],[],[],[],0,0,0,0,0
248,Walter Hopps,[],[],[],[],0,0,0,0,0
249,Coy Howard,[],[],[],[],0,0,0,0,0
250,Eric Howard,[],[],[],[],0,0,0,0,0
251,Dorothy B. Hughes,[],[],[],[],0,0,0,0,0
252,Nan Hunt,[],[],[],[],0,0,0,0,0
253,Terry Hunter,[],[],[],[],0,0,0,0,0
254,Boris Salvador Ingles,[],[],[],[],0,0,0,0,0
255,Charlotte Innes,[],[],[],[],0,0,0,0,0
256,Eileen Aaronson Ireland,[],[],[],[],0,0,0,0,0
257,William Iwamoto,[],[],[],[],0,0,0,0,0
258,Wendy James,[],[],[],[],0,0,0,0,0
259,David James,[],[],[],[],0,0,0,0,0
260,Paul Jarrico,[],[],[],[],0,0,0,0,0
261,David St. John,"[1977, 1978, 1979, 1981, 1983, 1984, 1986, 1987, 1995, 2001, 2002, 2003]","[1976, 1984, 1985, 1991, 1994, 1998]","[1997, 1999, 2009, 2012, 2017, 2020, 2021]","[1982, 2022]",27,12,6,7,2
262,James Evert Jones,[],[],[],[],0,0,0,0,0
263,Lois P. Jones,[],[],[],[],0,0,0,0,0
264,Harry Gamboa Jr.,[],[],[],[],0,0,0,0,0
265,Grover Jacoby Jr.,[],[],[],[],0,0,0,0,0
266,Traci Kato-Kiriyama,[],[],[],[],0,0,0,0,0
267,Douglas Kearney,"[2019, 2020]",[],[],[],2,2,0,0,0
268,Hanson Kellogg,[1950],[],[],[],1,1,0,0,0
269,Karen Kevorkian,[],[],[],[],0,0,0,0,0
270,Ed Kienholz,[],[],[],[],0,0,0,0,0
271,Stanley Kiesel,[],[1974],[],[],1,0,1,0,0
272,Chungmi Kim,[],[],[],[],0,0,0,0,0
273,Susan King,[],[],[],[],0,0,0,0,0
274,Linda King,[],[],[],[],0,0,0,0,0
275,Robert Kirsch,[],[],[],[],0,0,0,0,0
276,Jonathan Kirsch,[],[],[],[],0,0,0,0,0
277,Kaaren Kitchell,[],[],[],[],0,0,0,0,0
278,Doug Knott,[],[],[],[],0,0,0,0,0
279,Ron Koertge,[],[],[],[],0,0,0,0,0
280,Steve Kowit,[],[],[],[],0,0,0,0,0
281,Ian Krieger,[],[],[],[],0,0,0,0,0
282,Nancy Krusoe,[],[],[],[],0,0,0,0,0
283,James Krusoe,[],[1988],[],[],1,0,1,0,0
284,Harvey Kubernik,[],[],[],[],0,0,0,0,0
285,Suzanne Lacy,[],[],[],[],0,0,0,0,0
286,Maurice Lacy,[],[],[],[],0,0,0,0,0
287,Tom Laichas,[],[],[],[],0,0,0,0,0
288,Michael Lally,[],[],[],[],0,0,0,0,0
289,Frona Lane,[],[],[],[],0,0,0,0,0
290,Haley Laningham,[],[],[],[],0,0,0,0,0
291,Carlos Lara,[],[],[],[],0,0,0,0,0
292,Teka Lark,[],[],[],[],0,0,0,0,0
293,Carl Larsen,[],[],[],[],0,0,0,0,0
294,Christine Larusso,[],[],[],[],0,0,0,0,0
295,Anthony A. Lee,[],[],[],[],0,0,0,0,0
296,Janice Lee,[],[],[],[],0,0,0,0,0
297,Julayne Lee,[],[],[],[],0,0,0,0,0
298,Carol Lem,[],[],[],[],0,0,0,0,0
299,Lester Lennon,[],[],[],[],0,0,0,0,0
300,Russell Leong,[],[],[1995],[],1,0,0,1,0
302,Peter Levitt,[],[],[],[],0,0,0,0,0
303,Carol Lewis,[],[],[],[],0,0,0,0,0
304,Robin Coste Lewis,[],[],[],[],0,0,0,0,0
305,Kimberly Lieu,[],[],[],[],0,0,0,0,0
306,Martha Lifson,[],[],[],[],0,0,0,0,0
307,Mark Lipman,[],[],[],[],0,0,0,0,0
308,Lawrence Lipton,"[1955, 1956, 1957]",[],[],[1963],4,3,0,0,1
309,Kenji Liu,[],[],[],[],0,0,0,0,0
