nom_canonique,score_national_volume,score_national_presence,rang_volume,rang_presence,ecart_rang
David St. John,31,8,1.0,1.0,0.0
Christopher Buckley,22,6,2.0,4.0,2.0
Dana Gioia,20,8,3.0,1.0,-2.0
Robert Mezey,20,5,3.0,6.0,3.0
Carol Muske-Dukes,15,7,5.0,3.0,-2.0
Timothy Steele,15,3,5.0,24.0,19.0
Ann Stanford,14,3,7.0,24.0,17.0
Ralph Angel,13,4,8.0,14.0,6.0
Charles Harper Webb,13,6,8.0,4.0,-4.0
Thomas McGrath,12,4,10.0,14.0,4.0
Charles Bukowski,11,5,11.0,6.0,-5.0
Frank X. Gaspar,11,5,11.0,6.0,-5.0
Gene Frumkin,9,4,13.0,14.0,1.0
Aram Saroyan,8,2,14.0,44.0,30.0
Amy Gerstler,8,5,14.0,6.0,-8.0
Jack Hirschman,8,3,14.0,24.0,10.0
David Hernandez,7,5,17.0,6.0,-11.0
Elena Karina Byrne,7,5,17.0,6.0,-11.0
Stephanie Brown,7,3,17.0,24.0,7.0
Juan Felipe Herrera,7,4,17.0,14.0,-3.0
William Pillin,6,2,21.0,44.0,23.0
Molly Bendall,6,3,21.0,24.0,3.0
Dorothy Barresi,6,3,21.0,24.0,3.0
Henri Coulette,6,2,21.0,44.0,23.0
Stephen Yenser,6,4,21.0,14.0,-7.0
David Trinidad,6,4,21.0,14.0,-7.0
Alison Townsend,6,4,21.0,14.0,-7.0
Wanda Coleman,5,4,28.0,14.0,-14.0
Jenny Factor,5,2,28.0,44.0,16.0
Tim Reynolds,5,1,28.0,71.0,43.0
Quincy Troupe,5,5,28.0,6.0,-22.0
Brendan Constantine,5,4,28.0,14.0,-14.0
Richard Garcia,5,5,28.0,6.0,-22.0
Morgan Parker,4,3,34.0,24.0,-10.0
Lawrence Lipton,4,2,34.0,44.0,10.0
Ruth Madievsky,4,3,34.0,24.0,-10.0
Michelle Bitting,4,2,34.0,44.0,10.0
Tony Barnstone,4,3,34.0,24.0,-10.0
Rex Wilder,4,2,34.0,44.0,10.0
Arthur Vogelsang,4,3,34.0,24.0,-10.0
Judith Taylor,4,3,34.0,24.0,-10.0
Lynne Thompson,4,4,34.0,14.0,-20.0
Douglas Kearney,4,3,34.0,24.0,-10.0
William Archila,3,3,44.0,24.0,-20.0
Paula Gunn Allen,3,3,44.0,24.0,-20.0
Ameen Alwan,3,2,44.0,44.0,0.0
Don Gordon,3,1,44.0,71.0,27.0
Bert Meyers,3,3,44.0,24.0,-20.0
Bia Lowe,3,1,44.0,71.0,27.0
James Ragan,3,2,44.0,44.0,0.0
Peter Schjeldahl,3,1,44.0,71.0,27.0
Brian Kim Stefans,3,3,44.0,24.0,-20.0
Cecilia Woloch,3,3,44.0,24.0,-20.0
Terry Wolverton,3,1,44.0,71.0,27.0
Charles Gullans,3,1,44.0,71.0,27.0
Michelle T. Clinton,3,3,44.0,24.0,-20.0
Will Alexander,3,3,44.0,24.0,-20.0
Cathy Linh Che,3,3,44.0,24.0,-20.0
Jerome Sala,2,2,59.0,44.0,-15.0
David Shook,2,2,59.0,44.0,-15.0
Jack Skelley,2,2,59.0,44.0,-15.0
Patty Seyburn,2,1,59.0,71.0,12.0
Marsha De la O,2,2,59.0,44.0,-15.0
Naomi Replansky,2,1,59.0,71.0,12.0
Leslie Woolf Hedley,2,2,59.0,44.0,-15.0
Dick Barnes,2,1,59.0,71.0,12.0
Alvaro Cardona-Hine,2,2,59.0,44.0,-15.0
Cal Bedient,2,2,59.0,44.0,-15.0
Eloise Klein Healy,2,1,59.0,71.0,12.0
Carol V. Davis,2,1,59.0,71.0,12.0
Sonia Greenfield,2,2,59.0,44.0,-15.0
Sharon Doubiago,2,2,59.0,44.0,-15.0
Jose Hernandez Diaz,2,2,59.0,44.0,-15.0
Ron Koertge,2,2,59.0,44.0,-15.0
Mary-Alice Daniel,2,2,59.0,44.0,-15.0
Dennis Cooper,2,2,59.0,44.0,-15.0
Joan La Bombard,2,2,59.0,44.0,-15.0
Kate Braverman,2,1,59.0,71.0,12.0
Harmony Holiday,2,1,59.0,71.0,12.0
Jessica Goodheart,2,2,59.0,44.0,-15.0
John Rechy,2,1,59.0,71.0,12.0
Robin Coste Lewis,2,2,59.0,44.0,-15.0
Michael Lally,2,2,59.0,44.0,-15.0
Gail Newman,2,1,59.0,71.0,12.0
Holly Prado,2,2,59.0,44.0,-15.0
Sue Abbott Boyd,1,1,86.0,71.0,-15.0
John Beecher,1,1,86.0,71.0,-15.0
Xochitl-Julisa Bermejo,1,1,86.0,71.0,-15.0
Jamie Asaye Fitzgerald,1,1,86.0,71.0,-15.0
Cathy Colman,1,1,86.0,71.0,-15.0
James Krusoe,1,1,86.0,71.0,-15.0
Stanley Kiesel,1,1,86.0,71.0,-15.0
Hanson Kellogg,1,1,86.0,71.0,-15.0
Ruth Forman,1,1,86.0,71.0,-15.0
Linda Dove,1,1,86.0,71.0,-15.0
Sesshu Foster,1,1,86.0,71.0,-15.0
Martin Ott,1,1,86.0,71.0,-15.0
Jamie O'Halloran,1,1,86.0,71.0,-15.0
Sarah Maclay,1,1,86.0,71.0,-15.0
Lewis MacAdams,1,1,86.0,71.0,-15.0
Gerald Locklin,1,1,86.0,71.0,-15.0
Russell Leong,1,1,86.0,71.0,-15.0
Anthony McCann,1,1,86.0,71.0,-15.0
James Boyer May,1,1,86.0,71.0,-15.0
Robert Peters,1,1,86.0,71.0,-15.0
Douglas Messerli,1,1,86.0,71.0,-15.0
Martha Ronk,1,1,86.0,71.0,-15.0
Edwin Rolfe,1,1,86.0,71.0,-15.0
Luis J. Rodriguez,1,1,86.0,71.0,-15.0
Doren Robbins,1,1,86.0,71.0,-15.0
Maya Salameh,1,1,86.0,71.0,-15.0
Lee Rossi,1,1,86.0,71.0,-15.0
John Struloeff,1,1,86.0,71.0,-15.0
Mahtem Shiferraw,1,1,86.0,71.0,-15.0
Michael Torres,1,1,86.0,71.0,-15.0
Daniel Tiffany,1,1,86.0,71.0,-15.0
Gloria Vando,1,1,86.0,71.0,-15.0
Joanna Warwick,1,1,86.0,71.0,-15.0
Jackson Wheeler,1,1,86.0,71.0,-15.0
Gail Wronsky,1,1,86.0,71.0,-15.0
Ricardo Means Ybarra,1,1,86.0,71.0,-15.0
Peter Yates,1,1,86.0,71.0,-15.0
